,ID,ZooID,location,mean_probability,category,kind,field_flavor,state,status,truth,stage,object_id,x,y,markers_in_object,skill_sum,markers_in_field,people_marking_objects,people_marking_field,people_looking_at_field,object_size,field_name,object_name,object_flavor
0,5183f151e4bb21021901025b,ASW0001f17,http://spacewarps.org/subjects/standard/5183f151e4bb21021901025b.png,1.999999999999964e-08,training,dud,dud,active,rejected,NOT,1,0,274.83334350585943,148.92222435058594,3,0.07450603612353984,3,3,3,148,2.8330520335512936,ASW0001f17.png,0_ASW0001f17.png,dud
1,5183f151e4bb21021901025f,ASW0001f1b,http://spacewarps.org/subjects/standard/5183f151e4bb21021901025f.png,1.999999999999964e-08,training,dud,dud,active,rejected,NOT,1,1,236.89773995535717,417.62118509837563,7,1.334103263477743,10,7,8,140,7.359100461713295,ASW0001f1b.png,1_ASW0001f1b.png,dud
2,5183f151e4bb2102190662ee,ASW0008yy6,http://spacewarps.org/subjects/standard/5183f151e4bb2102190662ee.png,0.9908376,training,sim,lensing cluster,active,detected,LENS,1,2,214.17757300905762,432.5886742778298,42,22.271446074332008,42,29,29,30,15.584825289829116,ASW0008yy6.png,2_ASW0008yy6.png,simulated lensing cluster
3,5183f151e4bb210219045234,ASW00062ic,http://spacewarps.org/subjects/standard/5183f151e4bb210219045234.png,0.9689388000000001,training,sim,lensed galaxy,active,detected,LENS,1,3,228.8787610232696,56.43249731951303,48,28.355902273906683,51,36,37,58,9.420657538317883,ASW00062ic.png,3_ASW00062ic.png,simulated lensed galaxy
4,5183f151e4bb210219010257,ASW0001f13,http://spacewarps.org/subjects/standard/5183f151e4bb210219010257.png,1.999999999999964e-08,training,dud,dud,active,rejected,NOT,1,4,377.12549591064453,35.52507781982422,8,2.6657986305449675,10,7,8,164,10.07510999489834,ASW0001f13.png,4_ASW0001f13.png,dud
5,5183f151e4bb210219010258,ASW0001f14,http://spacewarps.org/subjects/standard/5183f151e4bb210219010258.png,2.0008980497909072e-08,training,dud,dud,active,rejected,NOT,1,5,313.57505455363065,243.86289739696224,15,3.3766792955646414,18,15,16,148,6.139954128540047,ASW0001f14.png,5_ASW0001f14.png,dud
6,5183f151e4bb21021901dcf9,ASW0002m7t,http://spacewarps.org/subjects/standard/5183f151e4bb21021901dcf9.png,0.1592312667161472,training,sim,lensed quasar,active,undecided,LENS,1,6,264.24511394830245,436.2065343008035,26,14.49548625483923,27,20,21,88,7.478958838814928,ASW0002m7t.png,6_ASW0002m7t.png,simulated lensed quasar
7,5183f151e4bb2102190040c0,ASW0000csg,http://spacewarps.org/subjects/standard/5183f151e4bb2102190040c0.png,0.9624913,training,sim,lensing cluster,active,detected,LENS,1,7,91.03215140072835,430.4515142583768,268,82.16300356439876,347,246,266,301,6.609706504050418,ASW0000csg.png,7_ASW0000csg.png,simulated lensing cluster
8,5183f151e4bb2102190040c0,ASW0000csg,http://spacewarps.org/subjects/standard/5183f151e4bb2102190040c0.png,0.9624913,training,sim,lensing cluster,active,detected,LENS,1,8,238.043935139974,388.9621551518408,48,8.381295782348548,347,41,266,301,17.536912484363626,ASW0000csg.png,8_ASW0000csg.png,dud
9,5183f151e4bb2102190040c0,ASW0000csg,http://spacewarps.org/subjects/standard/5183f151e4bb2102190040c0.png,0.9624913,training,sim,lensing cluster,active,detected,LENS,1,9,27.81585693359375,364.78275122450606,13,2.0032045664302536,347,13,266,301,8.898167777789848,ASW0000csg.png,9_ASW0000csg.png,simulated lensing cluster
10,5183f151e4bb2102190040cf,ASW0000csv,http://spacewarps.org/subjects/standard/5183f151e4bb2102190040cf.png,0.9720341,training,sim,lensed galaxy,active,detected,LENS,1,10,407.6472502459349,317.7743175861433,370,80.75607238884756,425,342,357,394,5.396703192344379,ASW0000csv.png,10_ASW0000csv.png,simulated lensed galaxy
11,5183f151e4bb2102190040cf,ASW0000csv,http://spacewarps.org/subjects/standard/5183f151e4bb2102190040cf.png,0.9720341,training,sim,lensed galaxy,active,detected,LENS,1,11,289.5687162088064,262.0425798998892,19,0.6770853594708794,425,19,357,394,3.287456636999241,ASW0000csv.png,11_ASW0000csv.png,dud
12,5183f151e4bb2102190040cf,ASW0000csv,http://spacewarps.org/subjects/standard/5183f151e4bb2102190040cf.png,0.9720341,training,sim,lensed galaxy,active,detected,LENS,1,12,325.3534376356337,380.8923014662001,18,1.4964815828478295,425,18,357,394,4.79419710124793,ASW0000csv.png,12_ASW0000csv.png,dud
13,5183f151e4bb21021900f9cb,ASW0001dcb,http://spacewarps.org/subjects/standard/5183f151e4bb21021900f9cb.png,0.9883368,training,sim,lensed quasar,active,detected,LENS,1,13,99.04219577637726,253.7085738048217,79,34.14194792769655,79,57,57,101,9.165134106629312,ASW0001dcb.png,13_ASW0001dcb.png,simulated lensed quasar
14,5183f151e4bb21021904f851,ASW0006zbl,http://spacewarps.org/subjects/standard/5183f151e4bb21021904f851.png,0.9989719000000001,training,sim,lensing cluster,active,detected,LENS,1,14,432.2258643308233,191.21106654977382,31,18.85070030503801,33,23,24,28,9.070184075557963,ASW0006zbl.png,14_ASW0006zbl.png,simulated lensing cluster
15,5183f151e4bb210219057720,ASW0007odc,http://spacewarps.org/subjects/standard/5183f151e4bb210219057720.png,0.9914438,training,sim,lensed quasar,active,detected,LENS,1,15,394.64676860132033,315.867406956467,15,9.758613048948853,15,12,12,33,11.888993824667132,ASW0007odc.png,15_ASW0007odc.png,simulated lensed quasar
16,5183f151e4bb2102190052b3,ASW0000gc3,http://spacewarps.org/subjects/standard/5183f151e4bb2102190052b3.png,0.9659338,training,sim,lensed galaxy,active,detected,LENS,1,16,165.48762055334328,142.17011821472838,219,63.73576052430325,235,180,190,397,7.944704926061423,ASW0000gc3.png,16_ASW0000gc3.png,simulated lensed galaxy
