,ID,ZooID,location,mean_probability,category,kind,field_flavor,state,status,truth,stage,object_id,x,y,markers_in_object,skill_sum,markers_in_field,people_marking_objects,people_marking_field,people_looking_at_field,object_size,field_name,object_name,object_flavor
0,5183f151e4bb21021901025b,ASW0001f17,http://spacewarps.org/subjects/standard/5183f151e4bb21021901025b.png,1.9999999999999636e-08,training,dud,dud,active,rejected,NOT,1,0,274.8333435058594,148.92222435058594,3,0.07450603612353984,3,3,3,148,2.8330520335512936,ASW0001f17.png,0_ASW0001f17.png,dud
1,5183f151e4bb21021901025f,ASW0001f1b,http://spacewarps.org/subjects/standard/5183f151e4bb21021901025f.png,1.9999999999999636e-08,training,dud,dud,active,rejected,NOT,1,1,236.89773995535714,417.6211850983756,7,1.334103263477743,10,7,8,140,7.359100461713295,ASW0001f1b.png,1_ASW0001f1b.png,dud
2,5183f151e4bb2102190662ee,ASW0008yy6,http://spacewarps.org/subjects/standard/5183f151e4bb2102190662ee.png,1.0,training,sim,lensing cluster,active,detected,LENS,1,2,214.17757300905765,432.5886742778298,42,22.271446074332008,42,29,29,30,15.584825289829114,ASW0008yy6.png,2_ASW0008yy6.png,simulated lensing cluster
3,5183f151e4bb210219045234,ASW00062ic,http://spacewarps.org/subjects/standard/5183f151e4bb210219045234.png,1.0,training,sim,lensed galaxy,active,detected,LENS,1,3,228.8787610232696,56.43249731951303,48,28.355902273906683,51,36,37,58,9.420657538317885,ASW00062ic.png,3_ASW00062ic.png,simulated lensed galaxy
4,5183f151e4bb210219010257,ASW0001f13,http://spacewarps.org/subjects/standard/5183f151e4bb210219010257.png,1.9999999999999636e-08,training,dud,dud,active,rejected,NOT,1,4,377.12549591064453,35.52507781982422,8,2.6657986305449675,10,7,8,164,10.075109994898341,ASW0001f13.png,4_ASW0001f13.png,dud
5,5183f151e4bb210219010258,ASW0001f14,http://spacewarps.org/subjects/standard/5183f151e4bb210219010258.png,2.0008980497909072e-08,training,dud,dud,active,rejected,NOT,1,5,313.57505455363065,243.86289739696224,15,3.3766792955646414,18,15,16,148,6.139954128540048,ASW0001f14.png,5_ASW0001f14.png,dud
6,5183f151e4bb21021901dcf9,ASW0002m7t,http://spacewarps.org/subjects/standard/5183f151e4bb21021901dcf9.png,0.1592312667161472,training,sim,lensed quasar,active,undecided,LENS,1,6,264.24511394830245,436.2065343008035,26,14.49548625483923,27,20,21,88,7.478958838814929,ASW0002m7t.png,6_ASW0002m7t.png,simulated lensed quasar
7,5183f151e4bb2102190040c0,ASW0000csg,http://spacewarps.org/subjects/standard/5183f151e4bb2102190040c0.png,1.0,training,sim,lensing cluster,active,detected,LENS,1,7,91.03215140072835,430.45151425837673,268,82.16300356439876,347,246,266,301,6.609706504050417,ASW0000csg.png,7_ASW0000csg.png,simulated lensing cluster
8,5183f151e4bb2102190040c0,ASW0000csg,http://spacewarps.org/subjects/standard/5183f151e4bb2102190040c0.png,1.0,training,sim,lensing cluster,active,detected,LENS,1,8,238.04393513997397,388.9621551518408,48,8.381295782348547,347,41,266,301,17.536912484363626,ASW0000csg.png,8_ASW0000csg.png,dud
9,5183f151e4bb2102190040c0,ASW0000csg,http://spacewarps.org/subjects/standard/5183f151e4bb2102190040c0.png,1.0,training,sim,lensing cluster,active,detected,LENS,1,9,27.81585693359375,364.78275122450606,13,2.0032045664302536,347,13,266,301,8.898167777789848,ASW0000csg.png,9_ASW0000csg.png,simulated lensing cluster
